doctype,candidate_batch,source_group_ref,raw_package_count,direct_extractable_package_count,conversion_required_package_count,blocked_package_count,readable_package_count,readable_gap_to_100,package_audit_status,package_audit_code
通知,local-corpus-20260620,local-corpus-20260620-notice,45,43,0,2,43,57,ready_for_desensitization,partial_extraction_blocked
请示,local-corpus-20260620,local-corpus-20260620-request,10,10,0,0,10,90,ready_for_desensitization,all_packages_extractable
报告,local-corpus-20260620,local-corpus-20260620-report,10,10,0,0,10,90,ready_for_desensitization,all_packages_extractable
函,local-corpus-20260620,local-corpus-20260620-letter,10,10,0,0,10,90,ready_for_desensitization,all_packages_extractable
会议纪要,local-corpus-20260620,local-corpus-20260620-minutes,12,12,0,0,12,88,ready_for_desensitization,all_packages_extractable
通报,local-corpus-20260620,local-corpus-20260620-circular,1,1,0,0,1,99,needs_more_corpus,all_packages_extractable
批复,local-corpus-20260620,local-corpus-20260620-reply,10,10,0,0,10,90,ready_for_desensitization,all_packages_extractable
讲话稿,local-corpus-20260620,local-corpus-20260620-speech,1,1,0,0,1,99,needs_more_corpus,all_packages_extractable
方案,local-corpus-20260620,local-corpus-20260620-plan,2,2,0,0,2,98,needs_more_corpus,all_packages_extractable
